time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-07T05:22:32.403Z,64.7629,-152.0064,9.5,3.7,ml,,,,0.77,ak,ak15952231,2017-05-07T05:27:40.477Z,"45km S of Tanana, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-07T04:25:19.142Z,60.1945,-151.6743,64.4,5.2,ml,,,,0.48,ak,ak15950938,2017-05-07T05:28:14.629Z,"28km SW of Cohoe, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-05-07T02:13:13.964Z,61.4173,-146.7709,19.2,3.1,ml,,,,0.85,ak,ak15949686,2017-05-07T04:35:45.777Z,"39km NW of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-07T02:10:08.390Z,6.8847,-73.0574,152.16,4.4,mb,,42,0.985,0.92,us,us10008q7n,2017-05-07T03:34:52.040Z,"11km S of Piedecuesta, Colombia",earthquake,7.7,4.2,0.066,65,reviewed,us,us
2017-05-07T01:29:39.690Z,6.1403,125.8206,101.94,4.7,mb,,120,0.954,1.03,us,us10008q7j,2017-05-07T01:56:10.040Z,"13km E of Lapuan, Philippines",earthquake,9.8,9.5,0.12,21,reviewed,us,us
2017-05-07T01:10:43.380Z,34.6366667,-116.2263333,2.45,2.66,ml,26,87,0.07709,0.2,ci,ci37641447,2017-05-07T01:21:19.370Z,"56km N of Joshua Tree, California",earthquake,0.34,0.89,0.124,26,automatic,ci,ci
2017-05-06T23:39:35.660Z,36.3941667,-89.5055,8.25,2.69,md,48,38,0.04338,0.14,nm,nm60166157,2017-05-07T03:10:02.731Z,"3km NW of Tiptonville, Tennessee",earthquake,0.22,0.33,0.196,41,reviewed,nm,nm
2017-05-06T23:18:45.155Z,59.8832,-136.5193,1.3,2.5,ml,,,,1.06,ak,ak15948428,2017-05-06T23:24:48.303Z,"82km NW of Skagway, Alaska",earthquake,,1,,,automatic,ak,ak
2017-05-06T20:44:22.380Z,16.2477,-94.4353,66.93,4.3,mb,,166,2.207,1.09,us,us10008q65,2017-05-06T23:11:21.040Z,"13km SSE of Ixhuatan, Mexico",earthquake,10.1,19.4,0.104,26,reviewed,us,us
2017-05-06T20:43:18.720Z,52.1332,-170.6152,33.05,5.3,mb,,99,0.819,1.02,us,us10008q64,2017-05-06T21:03:36.361Z,"55km S of Yunaska Island, Alaska",earthquake,6.5,4.6,0.03,368,reviewed,us,us
2017-05-06T20:43:17.819Z,51.9748,-170.5036,11.5,4.9,ml,,,,0.71,ak,ak15945932,2017-05-06T21:25:30.673Z,"74km S of Yunaska Island, Alaska",earthquake,,3.3,,,reviewed,ak,ak
2017-05-06T20:32:31.570Z,34.3136667,-119.7423333,1.71,3.22,ml,52,57,0.1288,0.32,ci,ci37641375,2017-05-07T03:35:21.793Z,"12km SSW of Santa Barbara, California",earthquake,0.31,31.61,0.117,279,reviewed,ci,ci
2017-05-06T20:32:12.640Z,34.2965,-119.7331667,1.71,2.67,ml,28,70,0.1447,0.38,ci,ci37641367,2017-05-06T23:28:39.985Z,"14km SSW of Santa Barbara, California",earthquake,0.65,31.61,0.124,29,reviewed,ci,ci
2017-05-06T19:52:14.750Z,-16.9281,-73.4716,19.9,5.1,mb,,151,3.311,1.32,us,us10008q5q,2017-05-06T20:10:40.040Z,"87km WSW of Camana, Peru",earthquake,6.8,4.2,0.054,111,reviewed,us,us
2017-05-06T19:27:03.560Z,34.3075,-119.7333333,0.77,2.8,ml,24,116,0.1338,0.25,ci,ci37641343,2017-05-07T01:57:55.503Z,"12km SSW of Santa Barbara, California",earthquake,0.59,31.61,0.202,27,automatic,ci,ci
2017-05-06T19:11:30.400Z,43.2181,139.0424,222.06,4,mb,,43,2.729,0.69,us,us10008q5f,2017-05-06T21:39:45.040Z,"122km WNW of Iwanai, Japan",earthquake,4.3,9.4,0.106,24,reviewed,us,us
2017-05-06T18:02:40.750Z,25.4287,124.8188,190.8,4.2,mb,,149,1.899,1.9,us,us10008q58,2017-05-06T21:36:25.040Z,"83km NNW of Hirara, Japan",earthquake,9.7,14.4,0.215,6,reviewed,us,us
2017-05-06T17:57:07.200Z,36.7961,73.9172,80.36,4.2,mb,,91,2.696,1.36,us,us10008q57,2017-05-06T21:05:17.040Z,"70km N of Gakuch, Pakistan",earthquake,6.9,9.5,0.141,14,reviewed,us,us
2017-05-06T16:10:40.310Z,-20.044,-69.1418,96.14,4.2,mb,,44,0.097,1.11,us,us10008q4h,2017-05-06T16:47:04.040Z,"106km E of Iquique, Chile",earthquake,6.5,6.8,0.141,14,reviewed,us,us
2017-05-06T15:05:03.330Z,38.4124,-118.9169,9.4,3.3,ml,26,49.94,0.127,0.151,nn,nn00588123,2017-05-06T19:06:28.015Z,"28km WSW of Hawthorne, Nevada",earthquake,,1.5,0.29,15,reviewed,nn,nn
2017-05-06T14:51:40.120Z,-44.3483,-78.2984,10,4.7,mb,,144,3.578,0.96,us,us10008q3x,2017-05-06T15:39:45.040Z,"Off the coast of Aisen, Chile",earthquake,5.3,1.9,0.16,12,reviewed,us,us
2017-05-06T14:48:51.930Z,23.9117,94.008,68.62,4.3,mb,,114,0.414,0.89,us,us10008q3v,2017-05-06T16:54:17.040Z,"51km NW of Mawlaik, Burma",earthquake,4.6,4.4,0.133,16,reviewed,us,us
2017-05-06T14:23:17.440Z,33.1899,140.7525,67.74,4.9,mb,,105,0.791,1.35,us,us10008q3s,2017-05-06T14:39:42.040Z,"89km E of Hachijo-jima, Japan",earthquake,4.8,6.3,0.071,62,reviewed,us,us
2017-05-06T11:35:44.680Z,37.1833344,-122.3603363,13.39,2.53,md,46,216,0.01868,0.14,nc,nc72798371,2017-05-06T23:39:19.324Z,"22km WNW of Boulder Creek, California",earthquake,0.53,0.4,0.14,50,automatic,nc,nc
